171.73,125.91,1346.8,5.3564,1,25
173.65,128.2,829.63,2.545,2,25
172.07,126.79,527.07,2.5347,3,25
178.66,154.15,1124.6,3.7497,1,26
177.59,154.14,841.63,4.1987,2,26
199.27,886.65,1000.6,3.0836,1,27
198.92,886.47,376.29,2.9952,2,27
206.24,932.67,1099.3,3.8167,1,28
206.02,933,1284,3.6067,2,28
206.01,933.06,1437.8,5.6307,3,28
205.5,932.76,1760.6,4.5334,4,28
205.9,932.69,1695.4,3.9639,5,28
205.72,932.86,1408.5,4.1857,6,28
205.75,933.07,1058.7,3.5122,7,28
206.27,933.09,721.29,2.7053,8,28
205.53,933.14,411.81,1.9246,9,28
212.36,914.84,2233.2,6.0715,1,29
211.44,914.24,2048.6,5.9892,2,29
212.11,912.38,1627.3,6.0834,3,29
211.54,912.59,1719,5.9183,4,29
211.37,912.09,1735,5.2105,5,29
211.27,911.67,1890.5,5.4155,6,29
211.07,911.64,2164.3,5.7732,7,29
211.34,911.46,2320,6.6291,8,29
210.73,911.57,2272,6.4038,9,29
210.08,912.09,1905.3,9.1173,10,29
210.25,911.93,1464.4,7.6604,11,29
210.32,911.95,1598.2,8.7075,12,29
210.75,912.1,1260.7,9.0055,13,29
212.04,911.28,1056.9,6.8989,14,29
213.22,910.99,986.09,9.9074,15,29
213.79,911.25,778.47,6.9551,16,29
214.38,910.8,668.93,4.6601,17,29
214.82,911.05,605.44,3.3169,18,29
214.52,911.28,904.28,6.1302,19,29
214.39,911.64,1299.9,4.3299,20,29
214.64,911.97,1647.2,6.307,21,29
214.42,911.62,1685.8,6.0685,22,29
214.33,913.02,100.86,1.1255,23,29
225.31,350.06,3014.3,4.8692,1,30
225.35,350.51,3163.2,5.6862,2,30
225.66,350.94,3031.5,5.895,3,30
225.9,350.56,2031.2,6.5813,4,30
225.11,349.99,1176.2,4.9064,5,30
227,350,35.097,0.5,6,30
240.8,607.63,1987.7,5.2217,1,31
240.6,606.54,982.42,4.2579,2,31
241,608,30.393,0.5,3,31
243.63,589.9,10651,10.434,1,32
243.56,590.49,12712,9.9283,2,32
243.68,590.49,13351,10.093,3,32
243.97,590.81,13531,9.3442,4,32
244.52,591.02,12909,10.101,5,32
245.39,592.21,12676,10.476,6,32
245.72,593.28,11266,10.728,7,32
245.94,593.25,9149.9,11.286,8,32
244.01,593.8,9810.8,11.729,9,32
242.87,595.75,8125.3,9.5947,10,32
242.65,595.97,6096.1,8.9938,11,32
242.03,595.72,4493.8,10.656,12,32
241.33,597.27,9369.2,10.963,13,32
241.48,596.3,8398.8,8.9233,14,32
241.94,595.62,6668,7.6796,15,32
243.52,592.88,2928.9,10.812,16,32
245.05,614.66,1885,5.1872,1,33
246.89,616.61,1222,3.2163,2,33
247.37,616.44,677.77,2.4771,3,33
246.21,337.29,5700.4,5.9987,1,34
245.45,337.3,6083.5,5.904,2,34
245.3,337.02,6370.1,6.0278,3,34
245.6,337.63,4508.2,7.2004,4,34
245.74,336.9,5279.3,7.3047,5,34
244.66,337.17,5404.9,5.5211,6,34
244.41,337.35,4796.4,5.2798,7,34
243.53,337.49,4157.8,7.344,8,34
242.63,337.95,3651.5,6.2666,9,34
242.86,338.76,2953.6,6.3312,10,34
241.88,340.14,2530.8,5.0598,11,34
239.78,343.45,1961.5,4.2796,12,34
242.16,342.22,1058.2,3.0252,13,34
241.12,341.77,726.22,2.5559,14,34
239.28,343.95,250.95,1.3047,15,34
247.1,323.32,2937.7,4.1547,1,35
246.74,323.65,2355.5,4.4441,2,35
249.65,305.82,7089,12.855,1,36
249.63,306.1,7912.7,13.955,2,36
250.08,305.26,8819.6,13.761,3,36
252.67,307,9496.7,13.669,4,36
